dia_pinado,shop_id,item_id,main_category,level2_global_kpi_category,batch_time,promo_price_dia_pinado,orders_dia_pinado,gmv_dia_pinado,promo_price_max_acumulado,ADO_acumulado,adgmv_acumulado
2023-07-07,404333042,14168607644,Underwear & Sleepwear,Socks & Stockings,18.0,0.0,0.0,0.0,43.99,2.59,128.54
2023-07-06,463371489,17410401386,Fashion Accessories,Women Watches,14.0,188.9,1.0,192.32,188.9,0.07,13.18
2023-07-11,505374992,9487613158,Fashion Accessories,Women Watches,0.0,54.99,2.0,108.33,52.99,0.03,1.7
2023-07-04,358675294,18332111886,Underwear & Sleepwear,Women Underwear,12.0,46.9,31.0,1524.86,46.9,0.8,38.99
2023-07-04,329076450,7979316201,Shoes,Sneakers,6.0,59.9,13.0,846.93,59.9,4.7,313.68
2023-07-06,505370631,14737901057,Underwear & Sleepwear,Women Underwear,12.0,42.99,68.5,3084.26,43.99,4.78,212.86
2023-07-07,404333042,14168607644,Underwear & Sleepwear,Socks & Stockings,17.0,39.9,65.0,2687.5,43.99,0.14,8.19
2023-07-04,322428714,6768709476,Bags,Crossbody & Shoulder Bags,22.0,0.0,0.0,0.0,39.0,1.6,69.07
2023-07-09,827674113,13895290489,Women Clothes,Dresses,0.0,54.8,2.0,132.13,54.6,0.37,20.74
2023-07-09,431103460,15770458729,Bags,Crossbody & Shoulder Bags,18.0,49.9,19.0,991.36,59.99,12.0,679.82
2023-07-04,376576138,12814448061,Baby & Kids Fashion,Boy Shoes,14.0,47.9,20.0,1047.89,47.9,1.22,69.04
2023-07-05,306430046,11546022640,Bags,Crossbody & Shoulder Bags,14.0,39.0,14.17,662.16,39.0,0.5,20.32
2023-07-10,376576138,16514485933,Baby & Kids Fashion,Boy Shoes,10.0,42.9,26.0,1298.15,42.9,22.65,997.77
2023-07-10,311203232,17259179986,Men Clothes,"Jackets, Coats & Vests",6.0,145.9,4.0,595.84,145.9,0.03,5.22
2023-07-10,499950777,8184633529,Baby & Kids Fashion,Girl Shoes,12.0,58.9,7.0,463.12,58.9,0.62,37.72
2023-07-07,300368017,18150062143,Baby & Kids Fashion,Girl Clothes,18.0,0.0,0.0,0.0,52.99,2.42,144.04
2023-07-10,771370681,15483609246,Men Clothes,Pants,0.0,89.99,1.0,85.31,94.99,0.37,34.87
2023-07-05,691766799,15577939442,Men Clothes,"Jackets, Coats & Vests",0.0,121.51,3.0,363.9,124.0,0.3,36.85
2023-07-04,419569800,10222422118,Baby & Kids Fashion,Girl Shoes,12.0,48.9,9.0,504.09,48.9,0.57,30.01
2023-07-06,376576138,12814448061,Baby & Kids Fashion,Boy Shoes,14.0,47.9,13.5,683.0,47.9,1.88,103.97
2023-07-08,582670917,19173206840,Bags,Crossbody & Shoulder Bags,18.0,69.9,19.0,1433.53,79.9,3.21,244.49
2023-07-07,386057181,9379043724,Baby & Kids Fashion,Boy Shoes,10.0,64.9,12.5,992.16,0.0,0.0,0.0
2023-07-07,382454047,9137695006,Shoes,Sneakers,20.0,0.0,0.0,0.0,41.99,6.52,317.77
2023-07-08,395781532,9837776124,Bags,Crossbody & Shoulder Bags,10.0,0.0,0.0,0.0,44.9,6.34,273.74
2023-07-11,352706805,4579292651,Women Clothes,Dresses,20.0,0.0,0.0,0.0,32.99,0.3,10.86
2023-07-08,666188805,18808729806,Shoes,Sandals & Flip Flops,6.0,39.99,17.0,722.05,39.99,0.83,37.16
2023-07-05,329076450,7979316201,Shoes,Sneakers,6.0,59.9,8.5,553.34,59.9,5.13,341.92
2023-07-07,327263189,7877410902,Men Clothes,Shorts,13.0,109.99,2.0,244.64,119.99,0.0,0.0
2023-07-07,300368017,18150062143,Baby & Kids Fashion,Girl Clothes,20.0,0.0,0.0,0.0,52.99,1.17,69.24
2023-07-05,661543932,14642418245,Men Clothes,Pants,18.0,79.9,0.5,84.48,79.9,1.28,140.72
2023-07-11,410760754,15381476392,Underwear & Sleepwear,Women Underwear,12.0,39.0,6.0,287.12,39.0,0.1,3.3
2023-07-04,770329934,19125968276,Baby & Kids Fashion,Girl Shoes,20.0,0.0,0.0,0.0,39.9,0.67,27.07
2023-07-07,416252641,11219936722,Fashion Accessories,Necklaces,6.0,29.0,60.67,1925.13,0.0,0.0,0.0
2023-07-07,367507085,3978308479,Shoes,Boots,15.0,84.99,3.0,254.97,0.0,0.0,0.0
2023-07-07,547119438,21220415585,Women Clothes,"Jackets, Coats & Vests",12.0,0.0,0.0,0.0,67.99,5.26,350.47
2023-07-08,279824874,16679426681,Baby & Kids Fashion,Boy Shoes,0.0,49.94,2.0,100.26,49.94,0.17,10.33
2023-07-08,499950777,14163042893,Baby & Kids Fashion,Girl Shoes,18.0,73.9,0.0,0.0,76.9,0.17,14.91
2023-07-11,387523771,8499477302,Baby & Kids Fashion,Boy Shoes,6.0,50.99,10.0,548.35,42.99,2.14,100.52
2023-07-11,413773582,12884727756,Shoes,Boots,22.0,0.0,0.0,0.0,41.99,0.3,14.0
2023-07-05,357273063,17869184108,Women Clothes,Pants & Leggings,18.0,39.99,45.33,2031.77,43.99,20.42,915.55
2023-07-08,426378412,16067684950,Women Clothes,Dresses,0.0,56.99,4.0,264.59,59.5,0.8,58.01
2023-07-08,661543932,14642418245,Men Clothes,Pants,20.0,79.9,0.0,0.0,79.9,0.27,26.05
2023-07-10,418306189,3061138281,Shoes,Sandals & Flip Flops,20.0,0.0,0.0,0.0,49.99,2.25,104.53
2023-07-08,585191959,10872767768,Shoes,Boots,18.0,59.9,16.0,1109.78,59.9,6.77,435.37
2023-07-09,609507916,15848901629,Men Clothes,Hoodies & Sweatshirts,12.0,0.0,0.0,0.0,53.9,0.45,25.79
